epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.572,1.15346,3.4017,1.34489,1,0.16518,0.46913,0.25954,1.29133,3.54593,1.43244,0.000409357,0.000409357,0.000409357
2,379.119,1.08803,2.41289,1.23743,0.53415,0.40172,0.44116,0.24569,1.3954,3.19346,1.55329,0.000809668,0.000809668,0.000809668
3,553.292,1.1804,2.24832,1.28565,0.73376,0.32764,0.42688,0.22678,1.48718,3.33231,1.68724,0.00119348,0.00119348,0.00119348
4,727.424,1.1741,2.15434,1.26417,0.44945,0.60742,0.53184,0.29097,1.52137,3.57084,1.73931,0.00117575,0.00117575,0.00117575
5,905.739,1.1203,1.9294,1.20572,0.47883,0.59783,0.49998,0.28617,1.56052,3.01366,1.73261,0.001151,0.001151,0.001151
6,1082.68,1.07292,1.73508,1.1801,0.72245,0.61302,0.68509,0.41279,1.48101,2.17398,1.71753,0.00112625,0.00112625,0.00112625
7,1258.94,1.05735,1.69363,1.18657,0.63932,0.61874,0.68617,0.39804,1.45112,2.28508,1.62546,0.0011015,0.0011015,0.0011015
8,1435.43,1.05727,1.57351,1.1989,0.85053,0.46561,0.63863,0.39709,1.41767,2.16234,1.6416,0.00107675,0.00107675,0.00107675
9,1615.29,0.99508,1.45334,1.15225,0.70277,0.53831,0.65212,0.39722,1.38485,2.10049,1.49225,0.001052,0.001052,0.001052
10,1792.36,1.00804,1.4124,1.14852,0.83371,0.67325,0.76389,0.48706,1.3384,1.82191,1.48597,0.00102725,0.00102725,0.00102725
11,1971.47,0.96269,1.28978,1.10184,0.79857,0.70029,0.78859,0.4775,1.25241,1.62497,1.52072,0.0010025,0.0010025,0.0010025
12,2149.42,0.90877,1.23535,1.09722,0.81115,0.77576,0.79728,0.47061,1.32628,1.67254,1.52581,0.00097775,0.00097775,0.00097775
13,2327.51,0.92246,1.2146,1.1084,0.8495,0.72545,0.83977,0.51901,1.37105,1.52434,1.55126,0.000953,0.000953,0.000953
14,2504.29,0.88082,1.10808,1.08104,0.89206,0.65674,0.7995,0.52539,1.24665,1.59711,1.4464,0.00092825,0.00092825,0.00092825
15,2682.12,0.85792,1.05845,1.05536,0.82125,0.71956,0.7877,0.50955,1.30863,1.56573,1.45957,0.0009035,0.0009035,0.0009035
16,2861.5,0.8645,1.053,1.05845,0.77208,0.70776,0.76247,0.51671,1.28247,1.62405,1.43889,0.00087875,0.00087875,0.00087875
