epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,3040.28,0.86541,1.02739,1.05582,0.70702,0.76514,0.78409,0.53614,1.18751,1.55278,1.39128,0.000854,0.000854,0.000854
18,3218.6,0.78183,0.96584,1.02491,0.82269,0.62719,0.75234,0.48975,1.28989,1.49262,1.45649,0.00082925,0.00082925,0.00082925
19,3399.12,0.78501,0.94436,1.02441,0.77422,0.69666,0.80003,0.52372,1.21954,1.38405,1.47639,0.0008045,0.0008045,0.0008045
20,3582.62,0.78844,0.8587,1.00971,0.79442,0.70326,0.79707,0.54852,1.16474,1.2905,1.41163,0.00077975,0.00077975,0.00077975
21,3763.78,0.75108,0.85246,1.01571,0.88665,0.71262,0.83469,0.6015,1.17111,1.19316,1.38986,0.000755,0.000755,0.000755
22,3944.24,0.69828,0.80175,0.99292,0.76061,0.78184,0.82525,0.57869,1.12416,1.30252,1.33566,0.00073025,0.00073025,0.00073025
23,4126.27,0.6812,0.76982,0.98964,0.84408,0.76478,0.82108,0.58156,1.08509,1.25581,1.33104,0.0007055,0.0007055,0.0007055
24,4307.43,0.69931,0.78038,0.9822,0.78783,0.79003,0.82374,0.57078,1.12677,1.24799,1.31053,0.00068075,0.00068075,0.00068075
25,4488.4,0.65934,0.74311,0.95776,0.90899,0.81487,0.884,0.62953,1.06694,1.11155,1.30079,0.000656,0.000656,0.000656
26,4670.68,0.66255,0.7493,0.97167,0.75393,0.83005,0.82326,0.60397,1.01215,1.23735,1.25665,0.00063125,0.00063125,0.00063125
27,4877.67,0.66353,0.72675,0.96893,0.92915,0.75998,0.856,0.6452,1.03799,1.05463,1.27308,0.0006065,0.0006065,0.0006065
28,5086.29,0.64382,0.70571,0.96489,0.79804,0.80186,0.84226,0.5447,1.19745,1.23471,1.44495,0.00058175,0.00058175,0.00058175
29,5318.88,0.66784,0.68997,0.97325,0.81399,0.75073,0.84608,0.61375,0.99919,1.10947,1.26333,0.000557,0.000557,0.000557
30,5526.32,0.64524,0.66652,0.97559,0.87517,0.78116,0.88398,0.6357,1.07279,0.98795,1.30976,0.00053225,0.00053225,0.00053225
31,5723.56,0.63348,0.66009,0.96672,0.87157,0.76142,0.86396,0.64473,0.98604,1.04734,1.22285,0.0005075,0.0005075,0.0005075
32,5917.57,0.60016,0.63158,0.95128,0.82089,0.844,0.8783,0.65646,1.02822,1.01499,1.29484,0.00048275,0.00048275,0.00048275
33,6093.15,0.59963,0.61665,0.94815,0.88894,0.77506,0.86878,0.6622,0.95187,0.98605,1.20496,0.000458,0.000458,0.000458
34,6267.49,0.61045,0.64438,0.9496,0.78275,0.84785,0.86308,0.60176,1.03457,1.02021,1.27249,0.00043325,0.00043325,0.00043325
35,6441.39,0.58026,0.61337,0.93258,0.76327,0.82559,0.8531,0.62569,1.01202,1.04087,1.27591,0.0004085,0.0004085,0.0004085
36,6615.56,0.57199,0.60122,0.92306,0.78617,0.82853,0.84331,0.6337,0.97542,1.117,1.27205,0.00038375,0.00038375,0.00038375
37,6789.09,0.57446,0.57775,0.93455,0.83726,0.83484,0.87713,0.65301,0.98791,0.98234,1.24351,0.000359,0.000359,0.000359
38,6962.99,0.5449,0.57973,0.922,0.86682,0.83571,0.88681,0.66414,0.94313,0.99229,1.22328,0.00033425,0.00033425,0.00033425
39,7137.33,0.55138,0.56409,0.92839,0.88521,0.82653,0.88493,0.66029,0.94398,0.99758,1.23965,0.0003095,0.0003095,0.0003095
40,7311.63,0.52935,0.53918,0.9169,0.88425,0.83401,0.88752,0.65807,0.97815,0.92292,1.26264,0.00028475,0.00028475,0.00028475
41,7483.87,0.49088,0.50911,0.89033,0.9419,0.76333,0.88293,0.63644,1.06202,1.11891,1.3217,0.00026,0.00026,0.00026
42,7655.31,0.47223,0.47263,0.88296,0.86757,0.76817,0.85476,0.61417,1.03547,1.06198,1.31845,0.00023525,0.00023525,0.00023525
43,7826.59,0.46224,0.45924,0.88681,0.80909,0.79827,0.85364,0.60712,1.01539,1.08383,1.30246,0.0002105,0.0002105,0.0002105
44,7997.73,0.4489,0.4546,0.87862,0.77066,0.86774,0.88173,0.67591,0.90508,0.96572,1.16259,0.00018575,0.00018575,0.00018575
45,8169.75,0.43134,0.42518,0.86227,0.82393,0.81721,0.87624,0.65749,0.98045,0.95915,1.23701,0.000161,0.000161,0.000161
46,8341.61,0.41478,0.41732,0.86121,0.86839,0.78079,0.87297,0.64299,1.04034,1.00124,1.30865,0.00013625,0.00013625,0.00013625
47,8512.87,0.40759,0.40961,0.85597,0.84308,0.82109,0.86045,0.64365,1.03469,1.03287,1.31307,0.0001115,0.0001115,0.0001115
48,8690.12,0.3977,0.39689,0.85538,0.94131,0.73047,0.88245,0.64533,1.06487,0.99495,1.34686,8.675e-05,8.675e-05,8.675e-05
49,8891.35,0.40452,0.39611,0.84977,0.80521,0.83473,0.88989,0.66202,1.01051,0.96215,1.2951,6.2e-05,6.2e-05,6.2e-05
50,9083.33,0.38783,0.39116,0.84279,0.8598,0.78835,0.88948,0.6537,1.01946,0.97154,1.29704,3.725e-05,3.725e-05,3.725e-05
